ts,action,price,pnl,size
1779426000000,BUY,86.75,-0.03863012937917276,2.2265204253125512
1779426000000,SELL,86.94,0.3456094064987104,2.2265204253125512
1779429600000,BUY,86.56,-0.03858020483542482,2.228523846778236
1779429600000,SELL,86.75,0.346089753404655,2.228523846778236
1779433200000,BUY,86.75,-0.03855237057539822,2.2220386498788596
1779433200000,BUY,86.56,-0.038467933106702816,2.2220386498788596
1779433200000,SELL,86.94,0.34491372738879106,2.2220386498788596
1779433200000,SELL,86.75,0.3450826023261818,2.2220386498788596
1779447600000,BUY,86.75,-0.038397348441454295,2.2131036565679705
1779447600000,SELL,86.94,0.3435268019871016,2.2131036565679705
1779458400000,BUY,86.56,-0.03863190061642182,2.2315099709116115
1779458400000,BUY,86.37,-0.038547103237527185,2.2315099709116115
1779458400000,SELL,86.75,0.34655349848256817,2.2315099709116115
1779458400000,SELL,86.56,0.34672309324035744,2.2315099709116115
1779462000000,BUY,86.56,-0.038565078832606514,2.227650117410265
1779462000000,BUY,86.37,-0.03848042812814492,2.227650117410265
1779462000000,SELL,86.75,0.3459540632338091,2.227650117410265
1779462000000,SELL,86.56,0.3461233646427323,2.227650117410265
1779465600000,BUY,86.75,-0.03857544333967734,2.2233684922004233
1779465600000,SELL,86.94,0.34512015083331343,2.2233684922004233
1779469200000,BUY,86.56,-0.03861539640402781,2.230556631471107
1779469200000,SELL,86.75,0.34640544486745783,2.230556631471107
1779490800000,BUY,84.31,-0.038615294918936637,2.290077981196574
1779490800000,BUY,84.13,-0.03853285211161355,2.290077981196574
1779490800000,BUY,83.95,-0.03845040930429048,2.290077981196574
1779490800000,SELL,84.49,0.334818561162847,2.290077981196574
1779490800000,SELL,84.31,0.3349834467775256,2.290077981196574
1779490800000,SELL,84.13,0.33514833239213926,2.290077981196574
1779494400000,BUY,84.31,-0.03860202427187081,2.289290966188519
1779494400000,BUY,84.13,-0.03851960979708802,2.289290966188519
1779494400000,SELL,84.49,0.3347034964206093,2.289290966188519
1779494400000,SELL,84.31,0.3348683253702074,2.289290966188519
1779498000000,BUY,84.31,-0.03855952813965551,2.286770735360901
1779498000000,SELL,84.49,0.3343350285926882,2.286770735360901
1779501600000,BUY,84.31,-0.03855907170044412,2.286743666258102
1779501600000,SELL,84.49,0.33433107098158266,2.286743666258102
1779508800000,BUY,84.31,-0.03861804170932802,2.2902408794524978
1779508800000,SELL,84.49,0.33484237753945606,2.2902408794524978
1779512400000,BUY,84.31,-0.03858830561134654,2.288477381766489
1779512400000,BUY,84.13,-0.03850592042560295,2.288477381766489
1779512400000,SELL,84.31,0.3347493174952905,2.288477381766489
1779519600000,FLATTEN,82.198,-4.8708858830561335,2.288477381766489
1779523200000,BUY,82.02,-0.0386095318475888,2.3536656820037063
1779523200000,BUY,81.84,-0.03852479988303667,2.3536656820037063
1779523200000,BUY,81.66,-0.038440067918484526,2.3536656820037063
1779523200000,SELL,82.2,0.3462712951364013,2.3536656820037063
1779523200000,SELL,82.02,0.3464407590654721,2.3536656820037063
1779523200000,SELL,81.84,0.34661022299460986,2.3536656820037063
1779530400000,BUY,82.02,-0.038559263913347436,2.350601311469607
1779530400000,SELL,82.2,0.34582046494342467,2.350601311469607
1779570000000,BUY,86.08,-0.03856691809379234,2.240178792622696
1779570000000,SELL,86.27,0.3483298808224832,2.240178792622696
1779573600000,BUY,85.7,-0.038608432215157806,2.2525339682122407
1779573600000,BUY,85.51,-0.03852283592436575,2.2525339682122407
1779573600000,SELL,85.89,0.35059339694842084,2.2525339682122407
1779573600000,SELL,85.7,0.350764589530005,2.2525339682122407
1779577200000,BUY,85.7,-0.03863140511295358,2.253874277301842
1779580800000,BUY,85.7,-0.03857334999576379,2.2504871642802677
1779580800000,SELL,85.89,0.35080200801636274,2.253874277301842
1779580800000,SELL,85.89,0.3502748241972329,2.2504871642802677
1779584400000,BUY,85.89,-0.03860534990783132,2.2473716327763023
1779584400000,SELL,86.08,0.34961911016773867,2.2473716327763023
1779588000000,BUY,85.89,-0.03862287328593195,2.248391738615202
1779588000000,BUY,85.7,-0.03853743439986457,2.248391738615202
1779588000000,SELL,85.89,0.3499486837650194,2.248391738615202
1779591600000,BUY,85.7,-0.038606631574707506,2.2524289133434947
1779591600000,SELL,86.08,0.34977780599288466,2.248391738615202
1779591600000,SELL,85.89,0.35057704578842974,2.2524289133434947
1779598800000,BUY,86.08,-0.03861796985425369,2.243144159749866
1779598800000,BUY,85.89,-0.0385327303761832,2.243144159749866
1779598800000,BUY,85.7,-0.0384474908981127,2.243144159749866
1779598800000,SELL,86.08,0.348961450643962,2.243144159749866
1779598800000,SELL,85.89,0.349131929600103,2.243144159749866
1779602400000,BUY,86.27,-0.03857108742488764,2.235486694383195
1779602400000,BUY,86.08,-0.03848613893050108,2.235486694383195
1779602400000,BUY,85.89,-0.03840119043611452,2.235486694383195
1779602400000,SELL,86.27,0.348790971687821,2.243144159749866
1779602400000,SELL,86.27,0.34760029708302664,2.235486694383195
1779602400000,SELL,86.08,0.34777019407179977,2.235486694383195
1779606000000,SELL,86.46,0.3474304000942535,2.235486694383195
1779609600000,BUY,86.46,-0.0386327890086506,2.2341423206483113
1779609600000,BUY,86.27,-0.03854789160046596,2.2341423206483113
1779609600000,BUY,86.08,-0.03846299419228133,2.2341423206483113
1779609600000,SELL,86.46,0.34722146290587286,2.2341423206483113
1779609600000,SELL,86.27,0.34739125772224216,2.2341423206483113
1779613200000,BUY,86.46,-0.03861581855593832,2.2331609157956467
1779613200000,SELL,86.65,0.34705166808953536,2.2341423206483113
1779613200000,SELL,86.65,0.3468992166597224,2.2331609157956467
1779616800000,BUY,86.46,-0.03863457623982235,2.2342456766031895
1779616800000,BUY,86.27,-0.03854967490411143,2.2342456766031895
1779616800000,SELL,86.65,0.3470677234035661,2.2342456766031895
1779616800000,SELL,86.46,0.3472375260749562,2.2342456766031895
1779620400000,BUY,86.46,-0.038566332244247666,2.23029911197361
1779620400000,SELL,86.65,0.34645466405400716,2.23029911197361
1779624000000,BUY,86.27,-0.03861085281440442,2.2377913999307073
1779624000000,SELL,86.46,0.3477885882116257,2.2377913999307073
1779627600000,BUY,85.7,-0.03856122100034197,2.2497795216068823
1779627600000,SELL,85.89,0.3501646838609765,2.2497795216068823
1779638400000,BUY,85.51,-0.038593036172061015,2.2566387657619584
1779638400000,SELL,85.7,0.351403788604447,2.2566387657619584
1779642000000,BUY,85.51,-0.03859483954283142,2.256744213707836
1779642000000,SELL,85.7,0.35142020895857906,2.256744213707836
1779656400000,BUY,83.81,-0.03859629827483267,2.3026069845384005
1779656400000,BUY,83.62,-0.038508799209420214,2.3026069845384005
1779656400000,SELL,83.99,0.337110872964343,2.3026069845384005
1779656400000,SELL,83.8,0.3372858710951679,2.3026069845384005
1779660000000,BUY,84.55,-0.03846032406906938,2.2744130141377514
1779660000000,BUY,84.36,-0.038373896374532146,2.2744130141377514
1779660000000,BUY,84.18,-0.03829201750602319,2.2744130141377514
1779660000000,BUY,83.99,-0.038205589811485946,2.2744130141377514
1779660000000,SELL,84.73,0.3323099366696541,2.2744130141377514
1779660000000,SELL,84.54,0.33248279205872855,2.2744130141377514
1779660000000,SELL,84.36,0.3326465497957142,2.2744130141377514
1779660000000,SELL,84.17,0.33281940518482095,2.2744130141377514
1779753600000,BUY,84.18,-0.03856123839169463,2.290403800884689
1779753600000,BUY,83.99,-0.038474203047261006,2.290403800884689
1779753600000,SELL,84.36,0.33498529830217416,2.290403800884689
1779753600000,SELL,84.17,0.33515936899107396,2.290403800884689
1779757200000,BUY,83.99,-0.038605108161247965,2.2981966996813887
1779757200000,BUY,83.81,-0.038522373080059444,2.2981966996813887
1779757200000,SELL,84.17,0.3362997194577927,2.2981966996813887
1779757200000,SELL,83.99,0.33646518962013705,2.2981966996813887
1779764400000,BUY,83.99,-0.03855465475974457,2.295193163456636
1779764400000,BUY,83.81,-0.03847202780586014,2.295193163456636
1779764400000,SELL,84.17,0.33586020599495214,2.295193163456636
1779764400000,SELL,83.99,0.3360254599026884,2.295193163456636
1779768000000,BUY,84.18,-0.038570841774001066,2.2909742084818876
1779768000000,BUY,83.99,-0.038483784754078744,2.2909742084818876
1779768000000,SELL,84.36,0.33506872383571,2.2909742084818876
1779768000000,SELL,84.17,0.33524283787558723,2.2909742084818876
