timestamp,symbol,side,price,size,notional,fee,pnl,balance,position,event
2026-06-14T05:00:00.000Z,SOLUSDT,buy,68.181178,2.8209961767204756,192.3388,0.038468,0.0000,807.62,2.820996,fill
2026-06-14T05:00:00.000Z,SOLUSDT,buy,68.031767,2.8209961767204756,191.9174,0.038383,0.0000,615.67,5.641992,fill
2026-06-14T05:00:00.000Z,SOLUSDT,sell,68.33,2.8209961767204756,192.7587,0.038552,0.3427,808.39,2.820996,fill
2026-06-14T05:00:00.000Z,SOLUSDT,sell,68.18,2.8209961767204756,192.3355,0.038467,0.3412,1000.68,0.000000,fill
2026-06-14T06:00:00.000Z,SOLUSDT,buy,68.181178,2.8209961767204756,192.3388,0.038468,0.0000,808.31,2.820996,fill
2026-06-14T06:00:00.000Z,SOLUSDT,sell,68.33,2.8209961767204756,192.7587,0.038552,0.3427,1001.03,0.000000,fill
2026-06-14T07:00:00.000Z,SOLUSDT,buy,68.181178,2.8209961767204756,192.3388,0.038468,0.0000,808.65,2.820996,fill
2026-06-14T07:00:00.000Z,SOLUSDT,buy,68.031767,2.8209961767204756,191.9174,0.038383,0.0000,616.69,5.641992,fill
2026-06-14T07:00:00.000Z,SOLUSDT,buy,68.03,2.8209961767204756,191.9124,0.038382,0.0000,424.74,8.462989,fill
2026-06-14T07:00:00.000Z,SOLUSDT,sell,68.18,2.8209961767204756,192.3355,0.038467,0.3412,617.04,5.641992,fill
2026-06-14T07:00:00.000Z,SOLUSDT,sell,68.18,2.8209961767204756,192.3355,0.038467,0.3462,809.34,2.820996,fill
2026-06-14T09:00:00.000Z,SOLUSDT,buy,68.031767,2.8209961767204756,191.9174,0.038383,0.0000,617.38,5.641992,fill
2026-06-14T09:00:00.000Z,SOLUSDT,buy,68.03,2.8209961767204756,191.9124,0.038382,0.0000,425.43,8.462989,fill
2026-06-14T09:00:00.000Z,SOLUSDT,buy,67.882356,2.8209961767204756,191.4959,0.038299,0.0000,233.89,11.283985,fill
2026-06-14T09:00:00.000Z,SOLUSDT,buy,67.88,2.8209961767204756,191.4892,0.038298,0.0000,42.37,14.104981,fill
2026-06-14T09:00:00.000Z,SOLUSDT,sell,68.33,2.8209961767204756,192.7587,0.038552,0.3427,235.09,11.283985,fill
2026-06-14T09:00:00.000Z,SOLUSDT,sell,68.18,2.8209961767204756,192.3355,0.038467,0.3412,427.38,8.462989,fill
2026-06-14T09:00:00.000Z,SOLUSDT,sell,68.18,2.8209961767204756,192.3355,0.038467,0.3462,619.68,5.641992,fill
2026-06-14T09:00:00.000Z,SOLUSDT,sell,68.03,2.8209961767204756,191.9124,0.038382,0.3397,811.55,2.820996,fill
